zone_id,latitude,longitude
Paris,48.8566,2.3522
London,51.5074,-0.1278
Berlin,52.5200,13.4050
Rome,41.9028,12.4964
Madrid,40.4168,-3.7038
Lisbon,38.7169,-9.1390
Vienna,48.2082,16.3738
Amsterdam,52.3676,4.9041
Brussels,50.8503,4.3517
Warsaw,52.2297,21.0122
Prague,50.0755,14.4378
Budapest,47.4979,19.0402
Athens,37.9838,23.7275
Stockholm,59.3293,18.0686
Oslo,59.9139,10.7522
Helsinki,60.1695,24.9354
Copenhagen,55.6761,12.5683
Dublin,53.3331,-6.2489
Moscow,55.7558,37.6173
Istanbul,41.0082,28.9784
New_York,40.7128,-74.0060
Los_Angeles,34.0522,-118.2437
Chicago,41.8781,-87.6298
Toronto,43.6532,-79.3832
Mexico_City,19.4326,-99.1332
Vancouver,49.2827,-123.1207
Montreal,45.5017,-73.5673
San_Francisco,37.7749,-122.4194
Miami,25.7617,-80.1918
Houston,29.7604,-95.3698
Rio_de_Janeiro,-22.9068,-43.1729
Sao_Paulo,-23.5505,-46.6333
Buenos_Aires,-34.6037,-58.3816
Lima,-12.0464,-77.0428
Bogota,4.7110,-74.0721
Santiago,-33.4489,-70.6693
Caracas,10.4806,-66.9036
Quito,-0.1807,-78.4678
Brasilia,-15.8267,-47.9218
Montevideo,-34.9011,-56.1645
Cairo,30.0444,31.2357
Lagos,6.5244,3.3792
Nairobi,-1.2921,36.8219
Johannesburg,-26.2041,28.0473
Casablanca,33.5731,-7.5898
Rabat,34.0209,-6.8417
Algiers,36.7538,3.0588
Accra,5.6037,-0.1870
Kampala,0.3476,32.5825
Addis_Ababa,9.0300,38.7400
Tokyo,35.6895,139.6917
Beijing,39.9042,116.4074
Shanghai,31.2304,121.4737
Delhi,28.6139,77.2090
Mumbai,19.0760,72.8777
Seoul,37.5665,126.9780
Bangkok,13.7563,100.5018
Singapore,1.3521,103.8198
Jakarta,-6.2088,106.8456
Kuala_Lumpur,3.1390,101.6869
Manila,14.5995,120.9842
Tehran,35.6892,51.3890
Sydney,-33.8688,151.2093
Melbourne,-37.8136,144.9631
Auckland,-36.8485,174.7633
Brisbane,-27.4698,153.0251
Perth,-31.9505,115.8605
Wellington,-41.2865,174.7762
Dubai,25.276987,55.296249
Riyadh,24.7136,46.6753
Tel_Aviv,32.0853,34.7818
Doha,25.276987,51.5200
Amman,31.9454,35.9284
Baghdad,33.3152,44.3661
Kuwait_City,29.3759,47.9774
Hanoi,21.0285,105.8542
Ho_Chi_Minh,10.7626,106.6602
Dhaka,23.8103,90.4125
Karachi,24.8607,67.0011
Islamabad,33.6844,73.0479
Colombo,6.9271,79.8612
Kathmandu,27.7172,85.3240
Tehran,35.6892,51.3890
Baghdad,33.3152,44.3661
Riyadh,24.7136,46.6753
Jeddah,21.4858,39.1925
