zone_id,latitude,longitude,date,precipitation,temperature_max,temperature_min,flood_risk,flood_risk_category,drought_risk,drought_risk_category,week_number
Paris,48.8566,2.3522,2026-02-11,11.5,13.5,10.8,1.0,High,0.0,Low,1
Paris,48.8566,2.3522,2026-02-12,6.3,12.4,9.4,1.0,High,0.0,Low,1
Paris,48.8566,2.3522,2026-02-13,6.08,9.3,2.2,1.0,High,0.0,Low,1
Paris,48.8566,2.3522,2026-02-14,0.1,6.7,-0.0,0.03125,Low,0.96875,High,1
Paris,48.8566,2.3522,2026-02-15,10.6,6.2,0.6,1.0,High,0.0,Low,1
Paris,48.8566,2.3522,2026-02-16,1.7,10.5,6.8,0.53125,Medium,0.46875,Medium,1
Paris,48.8566,2.3522,2026-02-17,0.7,8.6,4.9,0.2187499999999999,Low,0.78125,High,1
London,51.5074,-0.1278,2026-02-11,4.4,12.4,9.6,1.0,High,0.0,Low,1
London,51.5074,-0.1278,2026-02-12,1.8,10.1,7.6,0.5625,Medium,0.4375,Medium,1
London,51.5074,-0.1278,2026-02-13,1.35,7.6,1.0,0.421875,Medium,0.578125,Medium,1
London,51.5074,-0.1278,2026-02-14,0.0,6.4,-0.3,0.0,Low,1.0,High,1
London,51.5074,-0.1278,2026-02-15,4.5,11.7,2.8,1.0,High,0.0,Low,1
London,51.5074,-0.1278,2026-02-16,0.0,10.0,4.9,0.0,Low,1.0,High,1
London,51.5074,-0.1278,2026-02-17,0.0,6.6,2.4,0.0,Low,1.0,High,1
Berlin,52.52,13.405,2026-02-11,2.1,8.1,2.0,0.65625,Medium,0.34375,Medium,1
Berlin,52.52,13.405,2026-02-12,8.2,8.5,5.4,1.0,High,0.0,Low,1
Berlin,52.52,13.405,2026-02-13,3.03,6.8,0.6,0.946875,High,0.053125,Low,1
Berlin,52.52,13.405,2026-02-14,0.1,0.3,-3.0,0.03125,Low,0.96875,High,1
Berlin,52.52,13.405,2026-02-15,0.0,-1.0,-3.9,0.0,Low,1.0,High,1
Berlin,52.52,13.405,2026-02-16,2.6,1.7,-2.4,0.8125,High,0.1875,Low,1
Berlin,52.52,13.405,2026-02-17,5.4,5.4,1.8,1.0,High,0.0,Low,1
